latitude,longitude,start_date,end_date,duration,intensity_max,intensity_mean,intensity_cumulative,Unnamed: 8,Unnamed: 9
46.625,-126.875,2000-07-22,2000-07-26,5,1.5780312996610455,1.467233996419587,7.336169982097935,,
46.875,-126.875,2000-07-22,2000-07-26,5,1.7999094627664969,1.5997969893066752,7.998984946533376,,
48.125,-125.875,2000-07-22,2000-07-26,5,1.9312706028773672,1.655845229596271,8.279226147981355,,
46.875,-129.375,2000-09-23,2000-09-29,7,1.4026134051885109,1.270692125703185,8.894844879922292,,
46.875,-129.125,2000-09-23,2000-09-29,7,1.4049540718279978,1.2985100749484182,9.089570524638928,,
46.875,-129.125,2000-10-05,2000-10-09,5,1.3015628203152474,1.2209071328469878,6.104535664234939,,
46.875,-128.875,2000-04-11,2000-04-16,6,1.0733470878992613,1.0456047109145217,6.273628265,,
46.875,-128.875,2000-09-23,2000-09-29,7,1.426921306956903,1.3044000157629425,9.130800110340598,,
46.875,-128.875,2000-10-04,2000-10-09,6,1.3651771618124364,1.2321068677967515,7.392641207,,
47.125,-128.875,2000-10-05,2000-10-10,6,1.3332091945823432,1.2336477776853982,7.401886666112389,,
47.125,-128.375,2000-09-23,2000-09-29,7,1.3606882424415154,1.2151805583233093,8.506263908263165,,
47.625,-130.625,2000-09-22,2000-09-28,7,1.364850510739858,1.2527236450652353,8.769065515456647,,
47.875,-131.125,2000-10-13,2000-10-17,5,1.2743890849958994,1.229240616176602,6.146203081,,
47.875,-130.875,2000-10-13,2000-10-18,6,1.414416520779664,1.2951046924398373,7.770628154639024,,
47.875,-130.375,2000-09-22,2000-09-28,7,1.3637638071531892,1.1249837676667416,7.874886373667191,,
47.875,-130.125,2000-09-21,2000-09-28,8,1.3456853925307826,1.116548628797745,8.93238903,,
47.875,-130.125,2000-10-04,2000-10-09,6,1.3293323585830947,1.1698506648939029,7.019103989363417,,
47.875,-126.875,2000-09-23,2000-09-28,6,1.464250496522194,1.4198473198089934,8.519083919,,
47.875,-126.625,2000-09-23,2000-09-28,6,1.7501093247302697,1.656742033068152,9.940452198408911,,
47.875,-126.625,2000-10-03,2000-10-07,5,1.6787752036824628,1.4493111592886634,7.246555796443317,,
48.125,-131.125,2000-10-11,2000-10-18,8,1.435391398119437,1.2871143,10.29691439896152,,
48.125,-130.875,2000-10-10,2000-10-16,7,1.4299903300966823,1.300055773806563,9.100390416645942,,
48.125,-130.125,2000-10-05,2000-10-09,5,1.2316561201101166,1.1365619213630016,5.682809606815008,,
48.125,-129.375,1999-11-24,1999-11-28,5,1.2699991878759374,1.1533477467549051,5.766738733774526,,
48.125,-126.875,2000-09-24,2000-09-28,5,1.4904167638612726,1.4299552970244842,7.1497764851224215,,
48.125,-126.625,2000-09-24,2000-09-28,5,1.8250036127756035,1.724301896,8.621509479,,
48.125,-126.375,2000-09-24,2000-09-28,5,2.0952074671770493,1.880596911112469,9.402984555562345,,
48.125,-126.125,1999-11-25,1999-12-04,10,1.2865971059044077,1.1113284004981452,11.113284004981452,,
48.375,-132.375,2000-10-11,2000-10-15,5,1.508065723091045,1.4245958887400416,7.122979443700208,,
48.375,-131.375,2000-10-11,2000-10-15,5,1.4362006863307857,1.345839443822059,6.729197219110294,,
48.375,-131.125,2000-10-11,2000-10-15,5,1.480037591697421,1.3890043520997384,6.945021760498692,,
48.375,-130.875,2000-10-11,2000-10-16,6,1.4988923943520511,1.3657064415492617,8.194238649,,
48.375,-129.375,1999-11-24,1999-11-28,5,1.297114368664321,1.2009620334722189,6.004810167361095,,
48.375,-127.125,2000-07-24,2000-07-28,5,2.1108905131283144,1.7690928170921034,8.845464085460517,,
48.375,-126.875,2000-07-24,2000-07-28,5,2.368142568750464,2.1051335612769684,10.525667806384842,,
48.375,-126.625,1999-12-19,1999-12-23,5,1.3189591077215503,1.1136468593630984,5.568234296815492,,
48.375,-126.625,2000-07-24,2000-07-28,5,2.364934949138412,2.109762195314945,10.548810976574725,,
48.375,-125.875,1999-12-20,1999-12-24,5,1.7070653719767268,1.517541059743035,7.587705298715175,,
48.375,-125.625,1999-11-14,1999-11-20,7,1.3730033828832298,1.1476517771329486,8.033562439930641,,
48.375,-125.625,1999-12-20,1999-12-24,5,1.6476717911609224,1.4952099749074776,7.476049874537388,,
48.375,-125.375,1999-11-14,1999-11-20,7,1.4477651388181414,1.2533586709164122,8.773510696414885,,
48.375,-124.125,1999-08-20,1999-08-25,6,3.1367891258508216,2.586313577162865,15.517881462977192,,
48.375,-124.125,1999-12-30,2000-01-05,7,1.5699368292944804,1.3943020066767526,9.760114046737268,,
48.375,-124.125,2000-05-14,2000-05-19,6,2.3687809587107616,1.9376956205020013,11.626173723012007,,
