latitude,longitude,start_date,end_date,duration,intensity_max,intensity_mean,intensity_cumulative,Unnamed: 8,Unnamed: 9
46.375,-128.625,2015-10-12,2015-12-10,60,2.0966116584502608,1.6743282561923072,100.45969537153844,,
46.375,-128.625,2016-01-16,2016-02-01,17,1.5085261733477378,1.3177737694530929,22.402154080702577,,
46.375,-128.625,2016-02-05,2016-03-12,37,1.790249292847621,1.3611673041687518,50.36319025424382,,
46.375,-128.625,2016-03-16,2016-03-23,8,1.378606629461537,1.191346117704789,9.530768941638312,,
46.375,-128.625,2016-03-29,2016-04-13,16,1.6308654897451582,1.410071329749955,22.56114127599928,,
46.375,-128.625,2016-04-17,2016-04-26,10,2.619138348649715,1.8210444179716512,18.21044417971651,,
46.375,-128.625,2016-06-01,2016-06-09,9,2.5903349673935825,1.8317555839446484,16.485800255501836,,
46.375,-128.625,2016-06-16,2016-06-20,5,1.4920232002499247,1.3789394052814206,6.894697026407103,,
46.375,-128.375,2015-10-12,2015-12-10,60,2.044596925061793,1.60447113208044,96.26826792,,
46.375,-128.375,2016-01-16,2016-01-30,15,1.3291759108836452,1.207050083901538,18.105751258523068,,
46.375,-128.375,2016-02-05,2016-03-04,29,1.5966436994789923,1.3331728068464008,38.66201139854562,,
46.375,-128.375,2016-03-17,2016-03-22,6,1.259010206,1.1350380962403537,6.810228577442121,,
46.375,-128.375,2016-03-29,2016-04-26,29,2.571688804,1.5801052468342434,45.82305215819306,,
46.375,-128.375,2016-05-01,2016-05-05,5,1.9740201415708647,1.5993319558502184,7.996659779251091,,
46.375,-128.375,2016-06-01,2016-06-22,22,2.6926112943429583,1.6971843241507072,37.33805513131556,,
46.375,-128.125,2015-07-23,2015-07-28,6,1.6500964038232055,1.5616947586552816,9.370168552,,
46.375,-128.125,2015-10-14,2015-12-11,59,2.007585080772534,1.5392165640592823,90.81377727949766,,
46.375,-128.125,2016-01-25,2016-01-30,6,1.0986233233014904,1.0596438069234129,6.357862841540477,,
46.375,-128.125,2016-02-07,2016-03-04,27,1.4336175613218618,1.1881344501159803,32.079630153131475,,
46.375,-128.125,2016-03-29,2016-04-26,29,2.397100721156457,1.6753409416539569,48.58488730796475,,
46.375,-128.125,2016-05-01,2016-05-05,5,2.226079031413489,1.819012018470529,9.095060092352645,,
46.375,-128.125,2016-06-01,2016-06-23,23,2.672404169247713,1.8083426711298796,41.591881435987226,,
46.375,-127.875,2015-07-24,2015-07-28,5,1.5581177095757752,1.4923352972885362,7.46167648644268,,
46.375,-127.875,2015-08-22,2015-08-26,5,1.693574044162471,1.4640553539171592,7.320276769585796,,
46.375,-127.875,2015-10-14,2015-12-11,59,2.057461947103091,1.5196841824561624,89.66136676491358,,
46.375,-127.875,2016-02-09,2016-02-18,10,1.291412060599356,1.156148037503097,11.56148037503097,,
46.375,-127.875,2016-02-26,2016-03-04,8,1.2593776646068855,1.0894797617917755,8.715838094334206,,
46.375,-127.875,2016-03-29,2016-04-26,29,2.3384648495543843,1.8015869778867528,52.24602235871583,,
46.375,-127.875,2016-05-01,2016-05-05,5,2.357462402,1.9434349021295048,9.717174510647526,,
46.375,-127.875,2016-05-22,2016-05-27,6,1.6031688236730108,1.4851164743990226,8.910698846394135,,
46.375,-127.875,2016-06-01,2016-06-28,28,2.665176142500245,1.7653773738798546,49.43056646863593,,
46.375,-127.625,2015-08-22,2015-08-27,6,2.0105320958940425,1.5657993320388637,9.39479599223318,,
46.375,-127.625,2015-10-19,2015-12-11,54,2.2683918326026085,1.5700154946574558,84.78083671150262,,
46.375,-127.625,2016-02-09,2016-03-04,25,1.2066005985939796,1.0499081742147782,26.247704355369454,,
46.375,-127.625,2016-03-29,2016-04-29,32,2.428598850687047,1.8773935010536489,60.07659203371676,,
46.375,-127.625,2016-05-22,2016-05-27,6,1.6526948028946382,1.5684300023672757,9.410580014203656,,
46.375,-127.625,2016-06-04,2016-06-23,20,2.601850316996533,1.837292464456025,36.74584929,,
46.375,-127.375,2015-10-19,2015-12-11,54,2.401676012192812,1.6497302292481817,89.08543237940181,,
46.375,-127.375,2016-02-09,2016-03-04,25,1.354339761915471,1.1343895542908924,28.359738857272312,,
46.375,-127.375,2016-03-29,2016-04-29,32,2.575191003469948,1.889824054289373,60.474369737259934,,
46.375,-127.375,2016-05-22,2016-05-27,6,1.665543631073854,1.5255247006518982,9.153148203911387,,
46.375,-127.375,2016-06-01,2016-06-22,22,2.4390053680467787,1.5957770853100006,35.10709587682001,,
46.375,-127.125,2015-07-26,2015-07-30,5,1.5090203005222236,1.421933269038952,7.109666345194761,,
46.375,-127.125,2015-10-19,2015-12-11,54,2.487960358917377,1.727882977534988,93.30568078688935,,
46.375,-127.125,2016-02-08,2016-03-07,29,1.5574708201018108,1.2358027627092911,35.83828011856945,,
46.375,-127.125,2016-03-16,2016-03-21,6,1.6679187552120869,1.2631069266606385,7.578641559963829,,
46.375,-127.125,2016-03-29,2016-04-26,29,2.6521400498033323,1.8708994010868711,54.25608263151926,,
46.375,-127.125,2016-05-16,2016-05-27,12,2.2413337445800554,1.6706653013891468,20.04798361666976,,
46.375,-127.125,2016-06-04,2016-06-10,7,2.200481104361346,1.787362697438274,12.51153888206792,,
46.375,-126.875,2015-07-25,2015-08-01,8,1.5203918938193546,1.4107276632134915,11.285821305707934,,
46.375,-126.875,2015-10-14,2015-12-11,59,2.428144435,1.6982628055484403,100.19750552735798,,
46.375,-126.875,2016-02-07,2016-03-07,30,1.7164174008644224,1.3553390765376228,40.660172296128685,,
46.375,-126.875,2016-03-17,2016-03-21,5,1.7540025055383897,1.3800085054273468,6.900042527136733,,
46.375,-126.875,2016-03-29,2016-04-29,32,2.634208027210663,1.7209316150056102,55.06981168017953,,
46.375,-126.875,2016-05-16,2016-05-27,12,2.378920001433409,1.7907314967083685,21.48877796050042,,
46.375,-126.875,2016-06-01,2016-06-10,10,2.079236508814123,1.540930988196259,15.40930988196259,,
46.375,-126.625,2015-07-24,2015-07-31,8,1.530289171662833,1.4413032363855067,11.530425891084054,,
46.375,-126.625,2015-10-14,2015-12-10,58,2.303776503178348,1.6828704861330126,97.60648819571472,,
46.375,-126.625,2016-02-06,2016-03-08,32,1.781839210681568,1.414834995621325,45.27471986,,
46.375,-126.625,2016-03-17,2016-03-22,6,1.7134433611634865,1.353032909,8.118197454,,
46.375,-126.625,2016-03-29,2016-04-29,32,2.648854558922979,1.6357065111764837,52.34260835764748,,
46.375,-126.625,2016-05-10,2016-05-28,19,2.607722796807142,1.800869290063473,34.21651651120599,,
46.375,-126.625,2016-06-01,2016-06-13,13,2.0703630909818624,1.5235314592712443,19.805908970526172,,
46.375,-126.625,2016-09-24,2016-09-28,5,1.5712983395404052,1.4427448336313724,7.213724168156862,,
