latitude,longitude,start_date,end_date,duration,intensity_max,intensity_mean,intensity_cumulative,Unnamed: 8,Unnamed: 9
46.375,-128.625,2018-11-01,2018-11-22,22,1.5201216583678647,1.2959884813916835,28.51174659061704,,
46.375,-128.625,2018-11-26,2018-11-30,5,1.467880842769114,1.3806294656178717,6.903147328089359,,
46.375,-128.625,2018-12-13,2018-12-18,6,1.1668138183272188,1.1195950328319946,6.717570196991968,,
46.375,-128.625,2019-01-24,2019-02-02,10,1.2758568700406112,1.1461825897565243,11.461825897565245,,
46.375,-128.625,2019-07-02,2019-07-06,5,1.7599257507745687,1.607555384903564,8.037776925,,
46.375,-128.625,2019-07-12,2019-09-27,78,2.8348745598292577,1.892293432467402,147.59888773245734,,
46.375,-128.375,2018-11-01,2018-11-05,5,1.208485464895924,1.188274401112092,5.941372006,,
46.375,-128.375,2019-01-24,2019-02-02,10,1.239176711970071,1.1773635760138856,11.773635760138855,,
46.375,-128.375,2019-07-12,2019-09-23,74,2.835819265652688,1.927355177750545,142.62428315354038,,
46.375,-128.375,2019-12-26,2019-12-31,6,1.2697836585151947,1.1714179933853923,7.0285079603123535,,
46.375,-128.125,2019-01-24,2019-02-01,9,1.2860682557478036,1.2165451150479134,10.948906035431222,,
46.375,-128.125,2019-07-12,2019-09-20,71,2.755645665840813,1.9304538362165176,137.06222237137277,,
46.375,-128.125,2019-12-26,2019-12-31,6,1.3253958297449169,1.1894613861346246,7.136768316807748,,
46.375,-127.875,2019-01-23,2019-02-01,10,1.3200028516034976,1.1851720338324232,11.851720338324233,,
46.375,-127.875,2019-07-11,2019-09-27,79,2.582213591254522,1.8148977062325704,143.37691879237306,,
46.375,-127.625,2019-01-23,2019-02-01,10,1.315168881,1.1187271222750694,11.187271222750692,,
46.375,-127.625,2019-07-12,2019-09-27,78,2.4122054455087323,1.7507364948062754,136.55744659488948,,
46.375,-127.375,2019-01-28,2019-02-01,5,1.3234281236081795,1.195417305,5.977086524,,
46.375,-127.375,2019-07-11,2019-08-18,39,2.259562612433534,1.7535535246744325,68.38858746230287,,
46.375,-127.375,2019-08-25,2019-09-27,34,2.080354872194718,1.7022041085485469,57.87493969065059,,
46.375,-127.125,2019-01-28,2019-02-01,5,1.3869344286747491,1.241647215216242,6.208236076,,
46.375,-127.125,2019-06-30,2019-07-05,6,1.654580097735714,1.4890657943313326,8.934394765987996,,
46.375,-127.125,2019-07-11,2019-08-18,39,2.094147029713586,1.6506285342830604,64.37451283703936,,
46.375,-127.125,2019-08-25,2019-09-27,34,2.1319437234453567,1.753012843943146,59.60243669406697,,
46.375,-126.875,2019-01-28,2019-02-01,5,1.4316746988656792,1.2888713791650184,6.444356895825091,,
46.375,-126.875,2019-06-30,2019-07-05,6,1.7108086052219278,1.5507625807884178,9.304575484730506,,
46.375,-126.875,2019-07-11,2019-07-15,5,1.9267902415242448,1.7438243203864574,8.719121601932287,,
46.375,-126.875,2019-07-22,2019-07-29,8,1.9698355466031856,1.7566685611616486,14.053348489293189,,
46.375,-126.875,2019-08-03,2019-08-16,14,1.734673274504022,1.5972069587043751,22.360897421861253,,
46.375,-126.875,2019-08-24,2019-09-28,36,2.2127569113874337,1.775585770538471,63.92108773938496,,
46.375,-126.625,2019-01-23,2019-02-01,10,1.4258513504373056,1.1433106633667995,11.433106633667997,,
46.375,-126.625,2019-06-30,2019-07-05,6,1.838499547,1.6255658904892984,9.753395342935791,,
46.375,-126.625,2019-07-22,2019-07-29,8,1.8824497077341995,1.626127829665844,13.009022637326751,,
46.375,-126.625,2019-08-06,2019-08-16,11,1.9021589605933291,1.5841470397041315,17.425617436745448,,
46.375,-126.625,2019-08-24,2019-09-30,38,2.432550825521268,1.8384664826827573,69.86172634194477,,
46.375,-126.375,2019-01-23,2019-02-02,11,1.4353746366095592,1.1793975292756045,12.97337282203165,,
46.375,-126.375,2019-05-10,2019-05-14,5,1.6631141445495814,1.4587321391414938,7.293660695707469,,
46.375,-126.375,2019-06-30,2019-07-05,6,2.024584484874312,1.6840255358297769,10.10415321497866,,
46.375,-126.375,2019-07-12,2019-07-18,7,2.115668453299026,1.6754706168743638,11.728294318120549,,
46.375,-126.375,2019-07-24,2019-07-29,6,1.869078639551489,1.6172844545148912,9.703706727089347,,
46.375,-126.375,2019-08-07,2019-08-15,9,2.0134025971251965,1.6794986189217056,15.11548757029535,,
46.375,-126.375,2019-08-24,2019-09-30,38,2.5505770742344467,1.921469778229957,73.01585157273837,,
46.375,-126.125,2019-01-23,2019-02-02,11,1.387003934181731,1.202233648089272,13.224570128981991,,
46.375,-126.125,2019-05-10,2019-05-15,6,1.9475353665414656,1.7612249124789725,10.567349474873836,,
46.375,-126.125,2019-06-30,2019-07-05,6,2.1701318637041656,1.7378218001463397,10.426930800878036,,
46.375,-126.125,2019-07-12,2019-07-18,7,2.154747329206689,1.5976204788648525,11.183343352053964,,
46.375,-126.125,2019-07-25,2019-07-29,5,1.9397197026945605,1.6902783739935088,8.451391869967544,,
46.375,-126.125,2019-08-07,2019-08-15,9,2.522124243,1.826117670553116,16.435059034978046,,
46.375,-126.125,2019-08-24,2019-09-27,35,2.571182363343155,1.9915590462660613,69.70456661931215,,
46.375,-125.875,2019-01-25,2019-02-02,9,1.3553852554973815,1.2436291627541498,11.192662464787348,,
46.375,-125.875,2019-05-08,2019-05-15,8,1.9979424181669323,1.7046462957997073,13.637170366397658,,
46.375,-125.875,2019-06-30,2019-07-05,6,2.0876397148678123,1.6954320774565292,10.172592464739177,,
46.375,-125.875,2019-07-25,2019-08-01,8,1.9664241934769,1.6219612323741113,12.97568985899289,,
46.375,-125.875,2019-08-07,2019-08-16,10,2.9178925119886614,1.9154504202677696,19.154504202677696,,
46.375,-125.875,2019-08-25,2019-09-27,34,2.640587741,2.0626197844846668,70.12907267247867,,
46.375,-125.625,2019-01-29,2019-02-02,5,1.411491483456034,1.3121862312736523,6.560931156368262,,
46.375,-125.625,2019-05-08,2019-05-15,8,1.873265596949242,1.6299873461365932,13.039898769092746,,
46.375,-125.625,2019-06-30,2019-07-05,6,1.9049410152376751,1.645047241029172,9.870283446175032,,
46.375,-125.625,2019-07-25,2019-08-01,8,2.0496071028707803,1.7123865441899426,13.69909235351954,,
46.375,-125.625,2019-08-07,2019-08-16,10,3.206967127158116,2.1048514283874957,21.04851428387495,,
46.375,-125.625,2019-08-29,2019-09-29,32,2.844446149841172,2.212363564581657,70.79563406661302,,
46.375,-125.375,2018-06-22,2018-07-08,17,2.598622148947348,1.5692780353007116,26.6777266,,
46.375,-125.375,2019-01-29,2019-02-02,5,1.4011951304606145,1.2741575842563404,6.370787921281702,,
46.375,-125.375,2019-05-10,2019-05-15,6,1.739381277779886,1.5624735852983658,9.374841511790194,,
46.375,-125.375,2019-06-30,2019-07-05,6,1.780076528761354,1.563056984217451,9.378341905304708,,
46.375,-125.375,2019-07-24,2019-07-30,7,2.196334325,1.9124891957148589,13.387424370004013,,
46.375,-125.375,2019-08-07,2019-08-16,10,3.1106915516538898,2.1937501035884277,21.93750103588427,,
46.375,-125.375,2019-08-21,2019-09-29,40,3.161784571753764,2.279589705918737,91.18358823674949,,
46.375,-125.125,2018-06-21,2018-07-08,18,2.5347142777257243,1.6065219592304465,28.917395266148034,,
46.375,-125.125,2019-05-10,2019-05-14,5,1.6781316575221616,1.5037161851477232,7.518580925738616,,
46.375,-125.125,2019-06-30,2019-07-05,6,1.569387119690994,1.3811780904676956,8.287068542806173,,
46.375,-125.125,2019-07-09,2019-07-15,7,1.863169277266348,1.7011228294683651,11.907859806278555,,
46.375,-125.125,2019-07-24,2019-07-30,7,2.251643042443094,2.075962600290268,14.531738202031878,,
46.375,-125.125,2019-08-08,2019-08-16,9,3.007179115280847,2.380282186194128,21.422539675747156,,
46.375,-125.125,2019-08-20,2019-10-03,45,3.475430278812333,2.364902631356541,106.42061841104436,,
46.375,-124.875,2019-05-10,2019-05-14,5,1.7494657775727005,1.535255567541166,7.676277837705829,,
46.375,-124.875,2019-07-09,2019-07-18,10,2.146751688421489,1.8167321580482203,18.1673215804822,,
46.375,-124.875,2019-07-23,2019-07-30,8,2.389578537848948,2.0578399941417667,16.462719953134133,,
46.375,-124.875,2019-08-08,2019-08-16,9,2.955113857445932,2.4861287318171588,22.375158586354427,,
46.375,-124.875,2019-08-31,2019-10-02,33,3.7079450485378582,2.648397984710956,87.39713349546155,,
46.375,-124.625,2019-05-10,2019-05-14,5,1.8175350207550167,1.5814666787200686,7.907333393600343,,
46.375,-124.625,2019-07-08,2019-07-18,11,2.466482301269897,2.0697857412938627,22.767643154232488,,
46.375,-124.625,2019-07-23,2019-07-28,6,2.5486501999281206,2.25907775449472,13.554466526968318,,
46.375,-124.625,2019-08-09,2019-08-16,8,3.026209572315505,2.618120840478216,20.94496672382573,,
46.375,-124.625,2019-09-01,2019-09-05,5,3.1895667431434074,2.757676103123964,13.788380515619815,,
46.375,-124.625,2019-09-09,2019-09-28,20,3.827928697599916,3.045709743809564,60.91419487619128,,
46.375,-124.375,2019-07-08,2019-07-19,12,2.712133935323351,2.314343568998995,27.772122827987943,,
46.375,-124.375,2019-08-10,2019-08-16,7,3.320921735939809,2.705975943497813,18.94183160448469,,
46.375,-124.375,2019-09-09,2019-09-27,19,3.742188221871956,3.095937807328612,58.82281833924362,,
46.375,-124.125,2019-07-11,2019-07-19,9,2.8906169814090497,2.5992650691522416,23.39338562237017,,
46.375,-124.125,2019-08-11,2019-08-15,5,3.653916427304276,2.984767175463839,14.923835877319195,,
46.375,-124.125,2019-09-09,2019-09-27,19,3.908715955229839,3.060027852,58.14052919300973,,
46.625,-128.625,2018-11-01,2018-11-24,24,1.6173765813638514,1.3175725255546606,31.621740613311857,,
46.625,-128.625,2019-01-28,2019-02-01,5,1.359355928043648,1.2615476707151896,6.307738353575948,,
46.625,-128.625,2019-07-02,2019-07-07,6,1.786576495183274,1.6025932754020202,9.615559652412122,,
46.625,-128.625,2019-07-12,2019-09-27,78,2.753116075382678,1.87766059378528,146.4575263152518,,
46.625,-128.375,2018-11-01,2018-11-05,5,1.2971509943283337,1.2391098509328102,6.195549254664051,,
46.625,-128.375,2018-11-15,2018-11-19,5,1.2749581426404433,1.2125635963340566,6.062817981670284,,
46.625,-128.375,2019-01-23,2019-02-01,10,1.4691207717192292,1.2551617719414436,12.551617719414436,,
46.625,-128.375,2019-07-12,2019-09-27,78,2.8099402163157627,1.8853196287420972,147.0549310418836,,
46.625,-128.125,2019-01-23,2019-02-01,10,1.4529980485327665,1.2446440832277237,12.446440832277236,,
46.625,-128.125,2019-07-12,2019-09-27,78,2.8108217185657267,1.870447977872012,145.8949422740169,,
46.625,-127.875,2019-01-23,2019-02-01,10,1.3931698821633862,1.187489831072501,11.87489831072501,,
46.625,-127.875,2019-07-11,2019-09-27,79,2.6682872805386992,1.8079812014602912,142.8305149,,
46.625,-127.625,2019-01-23,2019-02-01,10,1.3254247731341398,1.1242347221312436,11.242347221312436,,
46.625,-127.625,2019-06-30,2019-07-04,5,1.7625542817398383,1.5841249633874397,7.920624816937199,,
46.625,-127.625,2019-07-11,2019-08-18,39,2.506976006520944,1.84027296373734,71.77064558575626,,
46.625,-127.625,2019-08-24,2019-09-27,35,2.0392512810934704,1.6889805560555735,59.11431946194508,,
46.625,-127.375,2019-01-27,2019-02-01,6,1.387483581280545,1.195390196149891,7.172341176899346,,
46.625,-127.375,2019-06-30,2019-08-18,50,2.36225737951742,1.6750989953679578,83.75494976839789,,
46.625,-127.375,2019-08-25,2019-09-27,34,2.151572836,1.6876718846592276,57.38084407841374,,
46.625,-127.125,2019-01-27,2019-02-01,6,1.410856016088184,1.1947220183899103,7.1683321103394615,,
46.625,-127.125,2019-06-30,2019-08-18,50,2.2283350344139343,1.5661556097791731,78.30778048895866,,
46.625,-127.125,2019-08-25,2019-09-27,34,2.1880756236161645,1.6770388744972076,57.019321732905055,,
46.625,-126.875,2019-01-28,2019-02-01,5,1.3403748030806906,1.1940547690658183,5.970273845329093,,
46.625,-126.875,2019-06-30,2019-07-05,6,1.8746844141250636,1.656312653,9.937875918,,
46.625,-126.875,2019-07-11,2019-07-29,19,2.079144690653507,1.6475144746483732,31.30277501831909,,
46.625,-126.875,2019-08-09,2019-08-16,8,1.5226520080321857,1.3768491263865337,11.01479301109227,,
46.625,-126.875,2019-08-25,2019-09-27,34,2.211453986102171,1.7143441651764724,58.287701616000064,,
46.625,-126.625,2018-06-20,2018-06-26,7,1.5244550002529351,1.3386388200801207,9.370471740560845,,
46.625,-126.625,2019-01-27,2019-02-01,6,1.331301233,1.126298195988484,6.757789175930904,,
46.625,-126.625,2019-06-30,2019-07-05,6,1.8901082073805624,1.6252223155772156,9.751333893463292,,
46.625,-126.625,2019-07-11,2019-07-18,8,2.060399121,1.6983007448542164,13.586405958833732,,
46.625,-126.625,2019-07-22,2019-07-29,8,1.948731051569041,1.6296929297030656,13.037543437624525,,
46.625,-126.625,2019-08-10,2019-08-15,6,1.6510650299421883,1.4347435152807904,8.608461091684742,,
46.625,-126.625,2019-08-24,2019-09-30,38,2.222772569545466,1.7325648757335297,65.83746527787412,,
46.625,-126.375,2018-06-20,2018-06-25,6,1.5739547707638906,1.4291406456860318,8.574843874,,
46.625,-126.375,2018-12-04,2018-12-08,5,1.2813342037251658,1.1784524719882434,5.892262359941217,,
46.625,-126.375,2019-01-26,2019-02-01,7,1.365990721647444,1.166415014712426,8.164905102986983,,
46.625,-126.375,2019-07-12,2019-07-19,8,2.228152418302452,1.7369728972265868,13.895783177812694,,
46.625,-126.375,2019-07-24,2019-07-29,6,1.814376406997088,1.575968333423854,9.455810000543124,,
46.625,-126.375,2019-08-10,2019-08-15,6,1.7896291709634014,1.5599323099179685,9.359593859507813,,
46.625,-126.375,2019-08-24,2019-10-01,39,2.3205025926213594,1.8031754215764768,70.32384144,,
46.625,-126.125,2018-06-20,2018-06-25,6,1.6428779094612551,1.4456395633428425,8.673837380057055,,
46.625,-126.125,2018-11-01,2018-11-06,6,1.2406276637432525,1.1765945133905038,7.059567080343022,,
46.625,-126.125,2019-01-25,2019-02-02,9,1.3178122289807366,1.150607413411881,10.35546672070693,,
46.625,-126.125,2019-05-10,2019-05-15,6,1.7760042635291915,1.5977801123894435,9.586680674336662,,
46.625,-126.125,2019-07-12,2019-07-18,7,2.34486713076422,1.768692144775855,12.380845013430983,,
46.625,-126.125,2019-08-11,2019-08-16,6,2.3254267161128084,1.8180144981053532,10.90808698863212,,
46.625,-126.125,2019-08-24,2019-09-30,38,2.400685165921864,1.873670259477072,71.19946986012872,,
46.625,-125.875,2018-11-01,2018-11-06,6,1.339752597864095,1.2499736769707814,7.499842061824689,,
46.625,-125.875,2019-01-23,2019-02-02,11,1.345038697869498,1.1934132885726056,13.127546174298663,,
46.625,-125.875,2019-05-08,2019-05-15,8,1.9444591887348568,1.6600923990151268,13.280739192121017,,
46.625,-125.875,2019-07-12,2019-07-18,7,2.3160011186400062,1.614148716287282,11.299041014010974,,
46.625,-125.875,2019-08-11,2019-08-16,6,2.731531454857798,2.086412370656134,12.518474223936805,,
46.625,-125.875,2019-08-25,2019-09-30,37,2.526416913,1.9802758550546424,73.27020663702177,,
46.625,-125.625,2019-01-23,2019-02-02,11,1.407107165075926,1.2485153938811029,13.73366933269213,,
46.625,-125.625,2019-05-08,2019-05-15,8,1.9984763680136588,1.7268052813480477,13.81444225078438,,
