latitude,longitude,start_date,end_date,duration,intensity_max,intensity_mean,intensity_cumulative
63.625,-166.375,1982-02-02,1982-02-12,11,1.737843607684355,1.1466198389741442,12.612818228715586
63.625,-166.375,1983-07-20,1983-07-26,7,4.356475937820949,4.035583164661627,28.24908215263139
63.625,-166.375,1985-01-04,1985-01-10,7,1.067780987050447,0.8851710184275856,6.1961971289931
63.625,-166.375,1985-07-31,1985-08-06,7,4.022624122292415,3.1391174284111045,21.97382199887773
63.625,-166.375,1985-12-31,1986-01-06,7,1.2094818741507685,0.9569811007553448,6.698867705287414
63.625,-166.375,1987-04-03,1987-04-08,6,1.1715395929013266,1.0453983373988542,6.272390024393125
63.625,-166.375,1988-01-10,1988-01-16,7,0.9664720929469324,0.9120866725761564,6.384606708033095
63.625,-166.375,1988-03-18,1988-03-22,5,0.805082107809457,0.7714467283900925,3.8572336419504634
63.625,-166.375,1988-04-03,1988-04-09,7,0.9575239481965218,0.8915085885671158,6.24056011996981
63.625,-166.375,1989-02-05,1989-02-21,17,1.647843574305754,1.332677881448341,22.6555239846218
63.625,-166.375,1989-03-08,1989-03-19,12,1.0540948173016649,0.8165418654565544,9.798502385478653
63.625,-166.375,1989-04-21,1989-04-26,6,0.9465522886045414,0.9166624331192872,5.499974598715724
63.625,-166.375,1989-09-12,1989-10-27,46,2.8573040064129325,2.113117603692396,97.2034097698502
63.625,-166.375,1991-06-22,1991-07-18,27,4.408437325865874,3.110159659085726,83.9743107953146
63.625,-166.375,1991-07-23,1991-08-06,15,3.079576438543036,2.667613921636244,40.01420882454366
63.625,-166.375,1991-08-10,1991-09-22,44,3.970720621940561,2.76493499236648,121.65713966412513
63.625,-166.375,1991-10-30,1991-11-03,5,1.725824220302102,1.6078490788897433,8.039245394448717
63.625,-166.375,1993-02-22,1993-03-02,9,1.2904965801155404,0.9553592897037172,8.598233607333455
63.625,-166.375,1993-07-21,1993-07-27,7,2.912897475397365,2.6698110995720827,18.68867769700458
63.625,-166.375,1993-11-05,1993-11-15,11,2.8626384914720675,2.399963831217571,26.39960214339328
63.625,-166.375,1994-02-01,1994-03-02,30,1.6210058708270083,1.0260036165690556,30.78010849707167
63.625,-166.375,1994-04-23,1994-04-29,7,1.0644477240011123,0.9993999464354132,6.995799625047892
63.625,-166.375,1994-05-11,1994-05-17,7,3.0315591586866613,2.2659096357529034,15.861367450270324
63.625,-166.375,1995-09-22,1995-09-28,7,2.485535715682066,2.149935643395937,15.04954950377156
63.625,-166.375,1995-12-31,1996-01-11,12,1.0931846987947993,0.8788751569045653,10.546501882854784
63.625,-166.375,1996-03-22,1996-04-09,19,1.5450009888700795,1.160027062308131,22.04051418385449
63.625,-166.375,1996-04-27,1996-05-03,7,1.0555464366461829,0.9684823348141262,6.779376343698883
63.625,-166.375,1996-07-18,1996-07-23,6,2.9384157463951883,2.6656050873097934,15.99363052385876
63.625,-166.375,1997-05-26,1997-06-02,8,2.510746899940336,2.205042961607792,17.640343692862338
63.625,-166.375,1997-10-09,1997-10-13,5,1.955776383077593,1.7132905539407794,8.566452769703897
63.625,-166.375,1998-03-20,1998-03-28,9,1.4850009864858935,1.2364032830155685,11.127629547140115
63.625,-166.375,1998-04-10,1998-04-14,5,1.6476832554414358,1.3110359659169748,6.5551798295848736
63.625,-166.375,1998-04-19,1998-04-30,12,1.291278606496081,1.1108091410406058,13.32970969248727
63.625,-166.375,2000-02-12,2000-02-20,9,1.4622883668076518,1.176214945372455,10.585934508352096
63.625,-166.375,2000-03-11,2000-03-20,10,1.4007233475749168,1.1318844541675346,11.318844541675348
63.625,-166.375,2000-10-30,2000-11-24,26,3.3932708869545287,2.207157097218728,57.38608452768693
63.625,-166.375,2000-12-25,2001-01-07,14,1.0049618410178098,0.8027760324091168,11.238864453727636
63.625,-166.375,2001-01-26,2001-01-31,6,1.6609559884715466,1.2840055350626345,7.7040332103758065
63.625,-166.375,2001-02-13,2001-02-20,8,1.430409577667881,1.08846615429197,8.70772923433576
63.625,-166.375,2002-03-11,2002-04-03,24,1.477144670635753,1.1387155431700258,27.32917303608062
63.625,-166.375,2002-04-08,2002-04-16,9,1.3558504477241609,1.151018679425067,10.359168114825602
63.625,-166.375,2002-11-25,2002-11-29,5,1.956703745165179,1.8186248457305432,9.093124228652716
63.625,-166.375,2002-12-10,2003-01-03,25,2.450101700347401,1.5240785146642344,38.10196286660586
63.625,-166.375,2003-04-23,2003-05-20,28,1.9511701307788432,1.4151414939826434,39.623961831514016
63.625,-166.375,2003-06-16,2003-07-04,19,3.3638159571665227,2.990814347815664,56.82547260849761
63.625,-166.375,2003-08-08,2003-08-14,7,2.7619770672547403,2.664444874718342,18.651114123028396
63.625,-166.375,2003-11-18,2003-11-23,6,1.5407742889366776,1.4758973685672838,8.855384211403702
63.625,-166.375,2004-01-28,2004-02-05,9,0.8101212102036746,0.7697338994377173,6.927605094939456
63.625,-166.375,2004-05-31,2004-06-08,9,2.804916682884002,2.5564301548908053,23.007871394017247
63.625,-166.375,2004-06-17,2004-07-01,15,3.3990723348891807,3.0035378606537817,45.05306790980673
63.625,-166.375,2004-07-12,2004-07-17,6,4.455658383196981,4.038798776050466,24.2327926563028
63.625,-166.375,2004-07-23,2004-07-28,6,4.217963277769229,3.630876921104196,21.785261526625177
63.625,-166.375,2004-08-04,2004-08-16,13,2.4965482820863265,2.3198195537989075,30.1576541993858
63.625,-166.375,2004-08-20,2004-09-13,25,4.274902017118878,3.3882642104278444,84.70660526069611
