latitude,longitude,start_date,end_date,duration,intensity_max,intensity_mean,intensity_cumulative,rate_onset,rate_decline
46.375,-128.625,2014-05-12,2014-06-05,25,2.0845271581875995,1.5079114524744015,37.69778631186004,0.0492781015131754,0.0789049492019076
46.375,-128.625,2014-08-09,2014-11-13,97,2.479223372167599,1.799612003476719,174.56236433724172,0.0477509861544525,0.0188630253172722
46.375,-128.625,2014-11-26,2015-01-02,38,2.086813894621164,1.599926125406843,60.79719276546004,0.0695297700457185,0.0608939439791222
46.375,-128.625,2015-01-08,2015-01-12,5,1.3212429767633207,1.242134738945882,6.21067369472941,0.0479459638394238,0.1097757833957384
46.375,-128.625,2015-01-20,2015-01-25,6,1.520783970275719,1.3192890762900902,7.915734457740541,0.1091651387619083,0.2557283753483084
46.375,-128.625,2015-01-29,2015-05-20,112,2.421938754643936,1.7970691903231852,201.27174931619675,0.0231614309843409,0.0190409370116744
46.375,-128.625,2015-06-26,2015-07-29,34,3.1133607702301447,1.9861759743795584,67.52998312890499,0.0833737198126324,0.101705641867721
46.375,-128.375,2014-05-12,2014-06-04,24,2.0136265196335508,1.4852689323190276,35.64645437565666,0.0367448186483308,0.0766742991716968
46.375,-128.375,2014-08-12,2014-11-13,94,2.526203544848727,1.8005524587971116,169.2519311269285,0.0591230601435385,0.0197964910737909
46.375,-128.375,2014-12-05,2014-12-28,24,2.0369497408281347,1.6695614953933184,40.06947588943965,0.0609466136309247,0.0886028157317561
46.375,-128.375,2015-01-20,2015-01-25,6,1.552373115485457,1.2687995506759304,7.612797304055583,0.1161286879439258,0.3966794104165168
46.375,-128.375,2015-01-29,2015-05-16,108,2.4715941341546994,1.87227327331718,202.2055135182554,0.0335880308389579,0.015896825956605
46.375,-128.375,2015-06-26,2015-07-28,33,2.9385599328089,1.8859864168763372,62.23755175691913,0.0742710726011735,0.0876974851687065
46.375,-128.125,2014-05-11,2014-06-03,24,2.09935284812088,1.5410246758004753,36.98459221921141,0.3283814289036044,0.0409583847145531
46.375,-128.125,2014-06-22,2014-06-26,5,1.4999632892297772,1.4286945085591216,7.1434725427956085,0.1353656210803215,0.0517747841881467
46.375,-128.125,2014-08-09,2014-11-13,97,2.4731006775761277,1.748312607189456,169.58632289737724,0.0509441914589915,0.0197301867686804
46.375,-128.125,2014-12-05,2014-12-28,24,1.89608620232943,1.5241694026148525,36.58006566275646,0.0560752820240208,0.0871186146149392
46.375,-128.125,2015-01-18,2015-01-25,8,1.6019968969933895,1.2176772462666303,9.741417970133044,0.0883656251329016,0.3802079571339748
46.375,-128.125,2015-01-30,2015-05-16,107,2.664883293375244,1.9525025103337887,208.9177686057154,0.0381390934842262,0.0197682097935071
46.375,-128.125,2015-06-25,2015-07-19,25,2.804073228636385,1.8671063978971367,46.67765994742842,0.0920723257534841,0.2092137596063492
46.375,-128.125,2015-07-23,2015-07-28,6,1.6500964038232055,1.5616947586552816,9.37016855193169,0.067639780000113,0.1193370589935938
46.375,-127.875,2014-05-11,2014-06-02,23,2.2353486897048995,1.617172655863257,37.19497108485491,0.3626902398996116,0.0459804374867327
46.375,-127.875,2014-06-21,2014-06-27,7,2.031032985272825,1.7695491323806392,12.386843926664474,0.3002769009214805,0.1893123991884151
46.375,-127.875,2014-08-08,2014-11-13,98,2.4824178405048105,1.7001086064710371,166.61064343416166,0.0150635157012182,0.0761390726158112
46.375,-127.875,2014-12-05,2014-12-27,23,1.7243248114586542,1.3978613387192809,32.15081079054346,0.0412966883650127,0.0754058495120396
46.375,-127.875,2015-01-08,2015-05-16,129,2.767312187709217,1.8661485421078232,240.7331619319092,0.0273081426411726,0.0212634521950895
46.375,-127.875,2015-06-25,2015-07-19,25,2.716832769264233,1.818542075795529,45.46355189488823,0.0849160568903255,0.1874461781655346
46.375,-127.875,2015-07-24,2015-07-28,5,1.5581177095757752,1.4923352972885362,7.46167648644268,0.0428835107064843,0.0708329092063605
46.375,-127.625,2014-03-15,2014-03-25,11,1.363052213261632,1.1045680544993688,12.150248599493056,0.0447656071340348,0.2673178145992179
