event_id,disaster_id
1,3
1,6
2,7
2,11
2,18
3,19
4,19
5,36
5,43
5,50
5,53
6,38
6,47
7,63
7,65
7,100
8,66
9,67
10,68
11,69
12,71
13,72
14,73
15,70
15,74
15,86
16,80
17,81
18,85
19,92
20,93
21,95
22,98
23,104
24,105
25,106
26,107
26,123
27,108
28,109
29,110
29,115
29,118
29,121
29,127
29,136
29,141
30,114
31,148
32,100
32,111
32,132
33,138
33,142
34,116
34,126
34,140
35,17
35,21
35,22
35,25
35,31
35,33
36,87
36,120
37,96
37,119
38,99
38,112
