latitude,longitude,start_date,end_date,duration,intensity_max,intensity_mean,intensity_cumulative,Unnamed: 8,Unnamed: 9
46.375,-128.625,2021-07-28,2021-08-06,10,2.284437257938041,1.9037511000665452,19.037511000665454,,
46.375,-128.625,2021-08-13,2021-08-21,9,2.039624836080144,1.6258493534014593,14.632644180613134,,
46.375,-128.625,2022-08-27,2022-09-11,16,2.2485897116314923,1.792292463934035,28.67667942294456,,
46.375,-128.625,2022-09-15,2022-10-24,39,1.9765715525457068,1.700099563665644,66.30388298296012,,
46.375,-128.375,2021-07-28,2021-08-06,10,2.1600331288441588,1.7028784442954428,17.02878444295443,,
46.375,-128.375,2021-08-13,2021-08-19,7,1.9581354579991876,1.6075996644087545,11.25319765086128,,
46.375,-128.375,2022-08-27,2022-09-11,16,2.316257649165987,1.8346964670576489,29.35514347292238,,
46.375,-128.375,2022-09-15,2022-10-22,37,1.852475376008172,1.5123311701872666,55.956253296928864,,
46.375,-128.125,2021-08-14,2021-08-18,5,1.751719881939806,1.5120745459138183,7.560372729569092,,
46.375,-128.125,2022-08-21,2022-09-11,22,2.3044850366875416,1.717852448493173,37.79275386684981,,
46.375,-128.125,2022-09-21,2022-10-09,19,1.6342058229891947,1.451165594788461,27.57214630098076,,
46.375,-127.875,2022-08-21,2022-09-11,22,2.228240371770543,1.675887411817743,36.86952305999034,,
46.375,-127.875,2022-09-23,2022-10-07,15,1.4187670056818185,1.3114464277003273,19.671696415504908,,
46.375,-127.625,2022-08-21,2022-09-11,22,2.0994800772928848,1.5930779851271424,35.04771567279713,,
46.375,-127.625,2022-09-29,2022-10-07,9,1.2745817527426375,1.2189056162309817,10.970150546078834,,
46.375,-127.375,2022-08-18,2022-08-24,7,1.638174430971624,1.4582494293562387,10.207746005493672,,
46.375,-127.375,2022-09-01,2022-09-10,10,1.989468207298472,1.7130274669302463,17.130274669302462,,
46.375,-127.125,2022-08-18,2022-08-24,7,1.6404823210736517,1.555558210015976,10.888907470111832,,
46.375,-127.125,2022-09-01,2022-09-08,8,1.9691459307874692,1.693127025214484,13.545016201715873,,
46.375,-126.875,2022-08-12,2022-09-07,27,2.021884197517835,1.5645407748698024,42.242600921484666,,
46.375,-126.625,2022-08-12,2022-08-29,18,1.9156924246245808,1.630567510662292,29.350215191921254,,
46.375,-126.625,2022-09-02,2022-09-07,6,1.976934440636381,1.759541269133394,10.557247614800364,,
46.375,-126.375,2022-07-10,2022-07-14,5,1.4607118430830646,1.3366240335618127,6.683120167809063,,
46.375,-126.375,2022-08-12,2022-08-24,13,1.8902439420385695,1.7010291967590658,22.11337955786785,,
46.375,-126.375,2022-09-02,2022-09-06,5,1.709881986072883,1.5317307694794216,7.658653847397108,,
46.375,-126.125,2022-07-10,2022-07-14,5,1.488991193570392,1.3207966584215598,6.603983292107799,,
46.375,-126.125,2022-08-18,2022-08-24,7,1.780853612161323,1.6725258735023714,11.70768111,,
46.375,-125.875,2021-06-26,2021-07-01,6,1.594812411854816,1.3976437772173174,8.385862663303904,,
46.375,-125.875,2022-08-18,2022-08-24,7,1.7216135158485493,1.6001731453813868,11.201212017669707,,
46.375,-125.625,2021-06-26,2021-06-30,5,1.898770303914162,1.701778083753921,8.508890418769605,,
46.375,-125.625,2022-08-18,2022-08-24,7,1.8629365732536023,1.6746416999441334,11.722491899608931,,
46.375,-125.375,2021-06-26,2021-06-30,5,2.1486334439425754,1.9119891306456929,9.559945653228464,,
46.375,-125.375,2022-08-18,2022-08-24,7,2.086908481329676,1.8409988825580692,12.886992177906484,,
46.375,-125.125,2021-06-25,2021-06-30,6,2.366390002779505,1.9284282764780016,11.57056965886801,,
46.375,-125.125,2022-08-16,2022-08-24,9,2.2561815317514675,1.9330747083312143,17.397672374980928,,
46.375,-124.875,2021-06-25,2021-07-01,7,2.647859998852724,1.961622696957166,13.731358878700162,,
46.375,-124.875,2022-07-07,2022-07-12,6,2.8728336587752565,2.245006638296917,13.470039829781504,,
46.375,-124.875,2022-08-14,2022-08-18,5,2.166005215751824,1.9728478006668453,9.864239003334228,,
46.375,-124.625,2021-06-26,2021-07-01,6,3.075489698616993,2.4145658809957857,14.487395285974712,,
46.375,-124.625,2022-07-07,2022-07-12,6,2.862532383535614,2.29634774087594,13.77808644525564,,
46.375,-124.375,2021-06-26,2021-07-01,6,3.579242986879265,2.876279158283175,17.257674949699048,,
46.375,-124.125,2021-06-26,2021-07-02,7,3.960357437791988,3.085758021561657,21.60030615,,
46.625,-128.625,2021-07-28,2021-08-06,10,2.286949539171566,1.9626493447345477,19.626493447345474,,
46.625,-128.625,2021-08-14,2021-08-21,8,2.0203254454898314,1.7436494418741102,13.949195534992882,,
46.625,-128.625,2022-08-22,2022-10-23,62,2.397832794470798,1.7162201227129334,106.40564760820187,,
46.625,-128.375,2021-07-28,2021-08-06,10,2.232647407756509,1.8270828409148736,18.270828409148734,,
46.625,-128.375,2021-08-14,2021-08-21,8,1.954066081887042,1.6666675080042013,13.33334006403361,,
46.625,-128.375,2022-08-21,2022-10-12,53,2.39419032841494,1.6199526572520646,85.85749083435942,,
46.625,-128.125,2021-08-02,2021-08-06,5,1.7806878306161131,1.578120078187208,7.890600391,,
46.625,-128.125,2021-08-14,2021-08-21,8,1.864379886714872,1.592274089338575,12.73819271,,
46.625,-128.125,2022-08-21,2022-09-11,22,2.300419638501697,1.7129114592932049,37.6840521,,
46.625,-128.125,2022-09-21,2022-10-08,18,1.5511529519630614,1.373146341424339,24.716634145638103,,
46.625,-127.875,2021-08-14,2021-08-21,8,1.712500389573652,1.525727638864653,12.205821110917224,,
46.625,-127.875,2022-08-21,2022-08-25,5,1.6635362851440938,1.4744449560678077,7.372224780339039,,
46.625,-127.875,2022-08-31,2022-09-11,12,2.163600765703279,1.8138084334324729,21.76570120118967,,
46.625,-127.875,2022-09-29,2022-10-07,9,1.2584192469645288,1.1958366588737546,10.762529929863792,,
46.625,-127.625,2021-08-14,2021-08-20,7,1.550676844287988,1.477809925025267,10.344669475176868,,
46.625,-127.625,2022-09-01,2022-09-10,10,2.088849442332592,1.8045031383361865,18.045031383361863,,
46.625,-127.375,2021-08-14,2021-08-20,7,1.443724467062836,1.333779116470642,9.336453815294494,,
46.625,-127.375,2022-09-01,2022-09-10,10,1.9274234506274404,1.6784412261210726,16.784412261210726,,
46.625,-127.125,2022-08-18,2022-08-24,7,1.5033102554537727,1.4033167527009742,9.823217269,,
46.625,-127.125,2022-09-01,2022-09-08,8,1.946504866806304,1.7333674477969856,13.866939582375885,,
46.625,-127.125,2022-10-18,2022-10-23,5,1.465724494329077,1.3174387743899818,6.587193871949909,,
46.625,-126.875,2021-06-26,2021-07-01,6,1.478423693670644,1.3400251887120989,8.040151132272593,,
46.625,-126.875,2022-08-13,2022-08-24,12,1.6961353835716153,1.5232604344925893,18.279125213911072,,
46.625,-126.875,2022-09-01,2022-09-07,7,2.030872249766798,1.832047148262158,12.824330037835107,,
46.625,-126.875,2022-10-18,2022-10-23,5,1.4904065541951947,1.2995266247254325,6.497633123627162,,
46.625,-126.625,2021-06-26,2021-07-01,6,1.4556763351821314,1.3214307809770878,7.928584685862527,,
46.625,-126.625,2022-08-13,2022-09-07,26,2.062383965705436,1.6627189939036318,43.23069384149443,,
46.625,-126.375,2021-06-26,2021-07-01,6,1.5061094752602229,1.3634877014654452,8.180926208792672,,
46.625,-126.375,2022-07-09,2022-07-14,6,1.514313191092132,1.3435797408098191,8.061478444858915,,
46.625,-126.375,2022-08-12,2022-08-29,18,1.9499210550703268,1.6427767173712424,29.569980912682365,,
46.625,-126.375,2022-09-02,2022-09-07,6,1.8917242643693584,1.6861903496790915,10.117142098074549,,
46.625,-126.125,2021-06-26,2021-07-02,7,1.639234433580306,1.4405527829559457,10.083869480691618,,
46.625,-126.125,2022-07-09,2022-07-14,6,1.5613755793474926,1.3978217949379823,8.386930769627895,,
46.625,-126.125,2022-08-13,2022-08-29,17,1.9568535447725035,1.6560729721028715,28.15324052574882,,
46.625,-125.875,2021-06-26,2021-07-06,11,1.8436380240794108,1.483438381,16.31782219587663,,
46.625,-125.875,2022-07-09,2022-07-14,6,1.594571964173122,1.3982318616368128,8.389391169820877,,
46.625,-125.875,2022-08-18,2022-08-28,11,1.977300557678511,1.736587974064283,19.10246771470711,,
46.625,-125.625,2021-06-26,2021-07-05,10,2.0759589950295148,1.6578589984618304,16.578589984618304,,
46.625,-125.625,2022-07-10,2022-07-14,5,1.6622466335987358,1.410315102548136,7.051575513,,
46.625,-125.625,2022-08-18,2022-08-28,11,2.117332555860237,1.801602885518348,19.817631740701824,,
46.625,-125.375,2021-06-25,2021-07-02,8,2.191031762654936,1.8174997767801784,14.539998214241429,,
46.625,-125.375,2022-07-17,2022-07-22,6,1.423704766840185,1.3721606735479748,8.232964041287849,,
46.625,-125.375,2022-08-13,2022-08-28,16,2.303391992594598,1.7825186059118876,28.52029769,,
46.625,-125.125,2021-06-25,2021-07-02,8,2.3304754923336795,1.9070480677389323,15.25638454191146,,
46.625,-125.125,2022-07-08,2022-07-12,5,2.274560836964218,1.7975310044456776,8.987655022228388,,
46.625,-125.125,2022-07-17,2022-07-22,6,1.601416504709098,1.491983889915572,8.951903339493432,,
46.625,-125.125,2022-08-13,2022-08-24,12,2.471444893832881,2.0214288124951376,24.25714574994165,,
46.625,-124.875,2021-06-25,2021-07-02,8,2.699452982441203,2.1573637636607206,17.258910109285765,,
46.625,-124.875,2022-07-07,2022-07-12,6,2.716512696443667,2.1128616543085434,12.67716992585126,,
46.625,-124.875,2022-08-13,2022-08-24,12,2.4670842514188944,2.133241977420695,25.598903729048335,,
46.625,-124.625,2021-06-25,2021-07-02,8,3.285193106588803,2.559123858019851,20.47299086415881,,
46.625,-124.625,2022-07-07,2022-07-12,6,2.7227840032696538,2.176563081641823,13.059378489850936,,
46.625,-124.625,2022-08-13,2022-08-18,6,2.378052389346129,2.1192469042509368,12.71548142550562,,
46.625,-124.375,2021-06-25,2021-07-02,8,3.962150843579391,3.067403980469889,24.53923184375911,,
46.625,-124.125,2021-06-25,2021-07-03,9,4.460915987532097,3.270319899556469,29.43287909600822,,
46.875,-128.375,2021-07-28,2021-08-06,10,2.130267181232586,1.8289031889220255,18.289031889220254,,
46.875,-128.375,2021-08-14,2021-08-21,8,1.9388201671351373,1.700372639,13.60298111548832,,
46.875,-128.375,2022-08-20,2022-10-13,55,2.361472409268675,1.6507122487675012,90.78917368221256,,
46.875,-128.125,2021-08-02,2021-08-06,5,1.9213295074615893,1.679987625762582,8.399938129,,
46.875,-128.125,2021-08-14,2021-08-21,8,1.9241565042763824,1.7282697600475427,13.826158080380342,,
46.875,-128.125,2022-08-19,2022-09-11,24,2.221551199181693,1.6267943738478383,39.04306497234812,,
46.875,-128.125,2022-09-15,2022-10-09,25,1.6492683309210785,1.4022178458277363,35.05544614569341,,
46.875,-127.875,2021-08-14,2021-08-21,8,1.953521586274217,1.7812656691883628,14.250125353506904,,
46.875,-127.875,2022-08-19,2022-08-25,7,1.4784822325857725,1.343894438373815,9.407261068616704,,
46.875,-127.875,2022-08-31,2022-09-11,12,2.043607758205429,1.70313341911741,20.43760102940892,,
46.875,-127.875,2022-09-28,2022-10-07,10,1.388896769152165,1.2936891715337342,12.936891715337342,,
46.875,-127.625,2021-08-13,2021-08-21,9,1.9869875761233864,1.7412975717227002,15.671678145504302,,
46.875,-127.625,2022-09-01,2022-09-10,10,1.9842632553351292,1.6953357018963997,16.953357018963995,,
46.875,-127.375,2021-08-14,2021-08-21,8,1.965041494366254,1.7046061865850728,13.636849492680582,,
46.875,-127.375,2022-09-01,2022-09-10,10,1.8599324458570408,1.6117042493114495,16.117042493114496,,
46.875,-127.375,2022-10-16,2022-10-23,7,1.4369610933653387,1.2569075978386903,8.798353184870834,,
46.875,-127.125,2021-06-26,2021-06-30,5,1.7170965377072918,1.4829965172446131,7.414982586223067,,
46.875,-127.125,2021-08-14,2021-08-20,7,1.8474195230985195,1.6111725022544003,11.278207515780805,,
46.875,-127.125,2022-09-01,2022-09-08,8,1.8796384938928377,1.6961731536550315,13.569385229240254,,
46.875,-127.125,2022-10-10,2022-10-24,14,1.6279124293670204,1.4157948417427744,19.82112778439884,,
46.875,-126.875,2021-06-26,2021-07-01,6,1.636653189784969,1.495999416024473,8.975996496146838,,
46.875,-126.875,2021-08-14,2021-08-20,7,1.811043576720074,1.526371674046098,10.684601718322686,,
46.875,-126.875,2022-08-18,2022-08-24,7,1.5230415759580571,1.446539944,10.12577960841951,,
46.875,-126.875,2022-09-01,2022-09-08,8,1.985012269004056,1.733618872942975,13.868950983543796,,
46.875,-126.875,2022-09-29,2022-10-03,5,1.4156929498836526,1.313738170785858,6.568690854,,
46.875,-126.875,2022-10-10,2022-10-23,13,1.7331445893520243,1.473054374997859,19.149706874972168,,
46.875,-126.625,2021-06-26,2021-07-01,6,1.6084485628640175,1.481616699551145,8.889700197,,
46.875,-126.625,2021-08-15,2021-08-19,5,1.6617757515229918,1.5038364090275955,7.519182045137978,,
46.875,-126.625,2022-08-18,2022-09-07,21,2.0395120472245445,1.612136615317422,33.85486892166586,,
46.875,-126.625,2022-09-29,2022-10-16,18,1.9636715133552425,1.3704369280004205,24.667864704007563,,
46.875,-126.375,2021-06-26,2021-07-02,7,1.6334620084686478,1.447565712052923,10.132959984370462,,
46.875,-126.375,2022-08-18,2022-09-07,21,1.999711678058404,1.6765644242549835,35.207852909354656,,
46.875,-126.375,2022-09-29,2022-10-13,15,2.0272180257400283,1.3123704734789352,19.685557102184028,,
46.875,-126.125,2021-06-26,2021-07-02,7,1.7083760161830064,1.4839111525696445,10.38737806798751,,
46.875,-126.125,2022-07-09,2022-07-18,10,1.5631891843250365,1.385843611664349,13.85843611664349,,
46.875,-126.125,2022-08-18,2022-09-07,21,2.137427430625465,1.7411565901678006,36.56428839352381,,
46.875,-125.875,2021-06-26,2021-07-05,10,1.8169014203648397,1.4690389822573748,14.690389822573747,,
