latitude,longitude,start_date,end_date,duration,intensity_max,intensity_mean,intensity_cumulative,rate_onset,rate_decline
32.125,-121.875,2016-06-04,2016-06-08,5,1.805427342167505,1.75438442163884,8.7719221081942,0.2865049561463617,0.136476379490269
32.125,-121.875,2016-07-02,2016-07-09,8,1.891259117519308,1.7038840200910317,13.631072160728252,0.3115760778984627,0.0846730643693714
32.125,-121.875,2017-02-05,2017-02-10,6,1.5426813632831795,1.2730530199089347,7.638318119453608,0.1133050135917306,1.2095453806319585
32.125,-121.875,2017-11-24,2017-12-02,9,1.425912030078308,1.2487100178598465,11.238390160738618,0.047492783437956,0.1169982008838721
32.125,-121.875,2017-12-08,2017-12-15,8,1.3040154715364132,1.1624156446064924,9.29932515685194,0.0861707299779622,0.095028309245537
32.125,-121.875,2017-12-30,2018-01-04,6,1.189496926885095,1.0755811086528386,6.453486651917032,0.0586645154714445,0.2677553235805661
32.125,-121.875,2018-01-12,2018-01-18,7,1.6197341129552871,1.242739754447432,8.699178281132024,0.4331381646092396,0.1417990171859727
32.125,-121.875,2018-04-07,2018-04-11,5,1.307912598901357,1.243467661392168,6.2173383069608406,0.0371399126333508,0.2091469126997118
32.125,-121.625,2016-06-04,2016-06-08,5,1.8365510246450116,1.7657968093548475,8.828984046774238,0.3165779796250731,0.1361449330249853
32.125,-121.625,2016-07-02,2016-07-09,8,2.0832443778433394,1.8640677253977065,14.91254180318165,0.3540685152188547,0.1148203462852432
32.125,-121.625,2017-02-05,2017-02-10,6,1.7579002282362772,1.3757301204612773,8.254380722767664,0.1426516419001946,1.2390554449303472
32.125,-121.625,2017-11-19,2017-12-02,14,1.5296542237841209,1.2583564400639242,17.61699016089494,0.0355433526528482,0.1444529003323517
32.125,-121.625,2017-12-07,2017-12-15,9,1.3056560916480535,1.1834798254730876,10.651318429257788,0.0755119248212376,0.0787887242745711
32.125,-121.625,2017-12-30,2018-01-04,6,1.3073993918000966,1.1341540136439103,6.8049240818634615,0.117765879282849,0.2342859922485928
32.375,-122.125,2016-06-04,2016-06-08,5,1.7779831311667458,1.715293692449817,8.576468462249085,0.8260231637892943,0.0978873234650363
32.375,-122.125,2016-07-02,2016-07-10,9,1.6440180281796692,1.4773356954465382,13.296021259018843,0.2055376549498127,0.0642679210164918
32.375,-122.125,2017-11-23,2017-11-29,7,1.61844012061351,1.403551194365868,9.824858360561077,0.1773646562476514,0.106094647313102
32.375,-122.125,2017-12-09,2017-12-15,7,1.2499254901534511,1.1356146459484435,7.949302521639105,0.0944756478410639,0.0849322416635378
32.375,-122.125,2018-01-07,2018-01-18,12,1.618545373617561,1.130641565513046,13.567698786156551,0.1412156154020466,0.149900266518478
32.375,-121.875,2016-05-15,2016-05-19,5,1.2755700165176815,1.2317537426241227,6.1587687131206135,0.7814524151785722,0.022294134697201
32.375,-121.875,2016-06-04,2016-06-08,5,1.7999361132255132,1.748163629204191,8.740818146020956,0.2725206543704471,0.1228750344113263
32.375,-121.875,2016-07-01,2016-07-09,9,1.883907556940308,1.6460479120129377,14.81443120811644,0.3050587920840776,0.0874130816728285
