latitude,longitude,start_date,end_date,duration,intensity_max,intensity_mean,intensity_cumulative
54.625,-165.125,2019-11-11,2019-11-23,13,1.2375738966616492,0.9718038560860276,12.63345012911836
54.625,-165.125,2019-12-05,2019-12-24,20,1.7777496279786114,1.3240553983655083,26.48110796731017
54.625,-165.125,2020-04-13,2020-04-30,18,1.832899388003792,1.2397383269629432,22.315289885332977
54.625,-165.125,2020-05-07,2020-06-07,32,2.2269822101322685,1.4372832953072323,45.99306544983144
54.625,-165.125,2020-07-12,2020-08-01,21,2.558344273972722,1.835949687381112,38.55494343500335
54.625,-165.125,2020-08-18,2020-08-26,9,2.1412082082481785,1.9835264666455692,17.851738199810125
54.625,-165.125,2020-11-06,2020-11-11,6,1.1515678262663949,1.01680693982206,6.10084163893236
54.625,-165.125,2021-02-12,2021-03-08,25,1.805132885051496,1.4547253908491085,36.36813477122771
54.625,-165.125,2021-03-20,2021-03-30,10,1.1903050212100346,1.090277089446579,10.902770894465789
54.625,-165.125,2021-04-07,2021-05-13,37,1.8447956952239992,1.3840832940288297,51.2110818790667
54.625,-165.125,2021-05-24,2021-05-31,8,1.723243265149648,1.4460158646638388,11.56812691731071
54.625,-165.125,2021-07-15,2021-07-21,7,2.1871630143792995,1.7847034743071573,12.4929243201501
54.625,-165.125,2021-09-05,2021-09-11,6,1.4441910293910976,1.293161986595879,7.7589719195752735
54.875,-165.625,2019-11-09,2019-11-28,20,1.316719454171488,0.9871351722433422,19.742703444866844
54.875,-165.625,2019-12-05,2019-12-23,19,1.46359121027065,1.1167334290948687,21.217935152802507
54.875,-165.625,2020-04-10,2020-04-17,8,1.2636325458350537,1.142095004952898,9.136760039623184
54.875,-165.625,2020-04-25,2020-06-07,44,2.1492503223414525,1.4825543887553705,65.2323931052363
54.875,-165.625,2020-06-19,2020-06-28,10,1.718522256490421,1.4203805503444351,14.20380550344435
54.875,-165.625,2020-07-13,2020-08-30,49,2.441700810537773,1.8600262082443293,91.14128420397216
54.875,-165.625,2020-11-01,2020-11-12,12,1.0869110786553602,0.9301530929643445,11.161837115572132
54.875,-165.625,2021-02-12,2021-03-10,27,1.731096513634903,1.371425568965105,37.02849036205783
54.875,-165.625,2021-04-19,2021-05-14,26,1.8198337472545552,1.4933270879783966,38.82650428743831
54.875,-165.625,2021-05-24,2021-05-28,5,1.2447655108783708,1.195117812774281,5.975589063871404
54.875,-165.625,2021-07-16,2021-07-20,5,1.8607559289866984,1.6452467672100035,8.22623383605002
54.875,-165.625,2021-08-15,2021-08-22,8,1.4995211960633146,1.2840802016554236,10.272641613243389
54.875,-165.625,2021-08-27,2021-09-11,15,1.7031728172115803,1.2213945460979856,18.320918191469783
54.875,-165.375,2019-11-09,2019-11-27,19,1.2693186175904776,0.955838232665492,18.160926420644348
54.875,-165.375,2019-12-05,2019-12-24,20,1.5188809419821938,1.2038484941970782,24.076969883941565
54.875,-165.375,2020-04-13,2020-04-17,5,1.253928805096758,1.164676096292535,5.823380481462676
54.875,-165.375,2020-04-24,2020-06-07,45,2.045665609626827,1.4672305567343449,66.02537505304551
54.875,-165.375,2020-06-19,2020-06-25,7,1.4587156425822867,1.3074431655160914,9.15210215861264
54.875,-165.375,2020-07-13,2020-08-30,49,2.401913635005931,1.838363938115953,90.0798329676817
54.875,-165.375,2020-11-07,2020-11-11,5,1.06262189043815,0.9794608804510712,4.897304402255356
54.875,-165.375,2021-02-12,2021-03-11,28,1.7220941554591112,1.4239556394121018,39.87075790353885
54.875,-165.375,2021-04-19,2021-05-14,26,1.8919884915859648,1.5787385672645995,41.04720274887959
54.875,-165.375,2021-05-24,2021-05-29,6,1.504635288999694,1.4035873777763823,8.421524266658295
54.875,-165.375,2021-07-15,2021-07-20,6,2.0677784426121413,1.7624778964846557,10.574867378907934
54.875,-165.375,2021-08-17,2021-08-21,5,1.3216230156601103,1.1693125294194069,5.846562647097034
54.875,-165.375,2021-08-29,2021-09-11,13,1.5781756296185812,1.1755659377434198,15.282357190664456
54.875,-165.125,2019-11-11,2019-11-24,14,1.2021047484490186,0.9344304545567266,13.082026363794172
54.875,-165.125,2019-12-05,2019-12-24,20,1.639243259613532,1.2727991773326257,25.455983546652508
54.875,-165.125,2020-04-13,2020-04-17,5,1.2423110782583031,1.1531744751804682,5.765872375902341
54.875,-165.125,2020-04-24,2020-04-30,7,1.8933439318290968,1.5007237936442526,10.505066555509767
54.875,-165.125,2020-05-07,2020-06-07,32,2.2104105733822985,1.5141474266694033,48.452717653420905
54.875,-165.125,2020-07-13,2020-08-27,46,2.574529706045096,1.8621269186677245,85.65783825871532
54.875,-165.125,2020-10-23,2020-10-27,5,1.0174990843234983,0.9204743572973432,4.602371786486716
54.875,-165.125,2020-11-07,2020-11-11,5,1.0947036583286112,0.9990277520512556,4.995138760256278
54.875,-165.125,2021-02-12,2021-03-16,33,1.77097318925233,1.4263837707705147,47.07066443542698
54.875,-165.125,2021-03-20,2021-03-30,10,1.2855904723979164,1.1326582165047134,11.326582165047132
54.875,-165.125,2021-04-15,2021-05-13,29,1.9786131110300893,1.5914484768092314,46.15200582746771
54.875,-165.125,2021-05-24,2021-05-30,7,1.680275828677539,1.5063571357340844,10.54449995013859
54.875,-165.125,2021-07-15,2021-07-21,7,2.2788285576586382,1.8914931452052912,13.240452016437038
54.875,-165.125,2021-09-06,2021-09-11,5,1.452810808920093,1.3318741078437373,6.659370539218687
54.875,-164.875,2019-11-14,2019-11-23,10,1.146379182112649,0.9368144279537788,9.368144279537788
