Scenario,Mean Disasters/Year,Mean Appropriation ($M),Median Appropriation ($M),95% CI Lower ($M),95% CI Upper ($M),P(>$100M),P(>$200M)
Baseline,2.6259,111.24184526804052,34.45864645395133,0.5840114628474906,671.3760119760447,0.2754,0.1396
Moderate (+20%),3.0166,159.63558539895394,46.17782719524562,0.616182451264527,1028.2026801094432,0.3544,0.2109
High (+40%),3.4192,221.093991583458,64.21422974479322,0.7382771263993272,1516.0627627084968,0.4209,0.2799
