,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
y_pred[14],15.0112,0.0108622,0.950579,0.921669,13.4601,15.012,16.581,7672.8,7663.43,10176.1,0.999964
y_pred[15],17.4868,0.0106836,0.952008,0.920452,15.9293,17.4821,19.0447,7948.22,7416.45,10541.4,1.00029
y_pred[16],17.27,0.0105527,0.9603,0.945084,15.6937,17.256,18.8864,8289.09,7889.11,10993.5,0.999943
y_pred[17],12.3379,0.0115283,1.03437,1.01621,10.6411,12.3319,14.0377,8069.46,7975.47,10702.2,1.00045
y_pred[18],15.3791,0.0109767,0.942728,0.904374,13.803,15.3802,16.9262,7431.53,7370.73,9856.14,1.00063
y_pred[19],15.178,0.0103533,0.925576,0.928488,13.6863,15.191,16.6717,8015.41,8041.79,10630.5,0.999902
y_pred[20],15.8836,0.0106992,0.946739,0.925364,14.3426,15.8775,17.4515,7887.71,6865.21,10461.2,1.00035
y_pred[21],16.0781,0.0105819,0.931657,0.881277,14.5492,16.062,17.5896,7776.57,7271.61,10313.7,1.00026
y_pred[22],16.9479,0.0106483,0.964008,0.948502,15.3666,16.9463,18.5306,8198.18,7856.29,10872.9,0.999865
y_pred[23],17.3195,0.0106609,0.955082,0.943175,15.7676,17.3135,18.8863,8051.04,7692.64,10677.8,0.999972
y_pred[24],17.0759,0.0110659,0.968195,0.954662,15.481,17.0719,18.6597,7662.35,7691.55,10162.3,0.999968
y_pred[25],17.4399,0.011105,0.966098,0.936593,15.8436,17.4375,19.0141,7575.76,7504.62,10047.4,1.00021
y_pred[26],17.6383,0.0113568,1.01932,1.00024,15.9637,17.6302,19.3057,8075.23,7759.14,10709.9,1.00034
y_pred[27],15.8457,0.0107373,0.950728,0.942701,14.3083,15.8462,17.3883,7845.79,7600.86,10405.6,1.00044
y_pred[28],13.8062,0.0110721,0.9661,0.955705,12.2483,13.8138,15.3824,7642.73,7599.08,10136.2,0.999836
y_pred[29],16.491,0.0115961,1.02815,1.00754,14.7876,16.4979,18.1491,7980.33,7764.32,10584.0,1.0002
y_pred[30],17.9016,0.0115168,0.991695,0.968981,16.2672,17.9141,19.5212,7463.3,7594.37,9898.27,1.00022
y_pred[31],17.4697,0.0116664,1.02732,1.00472,15.7927,17.4741,19.1756,7768.1,7661.88,10302.5,1.00007
y_pred[32],15.4616,0.0110027,0.94454,0.936337,13.9029,15.4739,16.9871,7456.2,7501.82,9888.86,1.00112
y_pred[33],15.4008,0.0117359,1.00449,0.971345,13.7404,15.4069,17.0621,7333.05,7590.45,9725.54,1.00003
y_pred[34],13.9922,0.0105111,0.959394,0.948198,12.416,14.0036,15.5627,8342.06,7921.04,11063.7,1.00027
