Scenario,Mean (M),Median (M),CI_lower (M),CI_upper (M),P(>$100M),P(>$200M)
Baseline,113.42731176748538,33.54278153950548,0.5976599639033872,722.96787336884,0.2751,0.1431
Climate (+20%),111.71403281046871,32.880254307873145,0.5221216483618684,700.6517360897551,0.2702,0.1414
